condition,group_name,count,accuracy,avg_confidence,avg_true_class_confidence,prediction_flip_rate,avg_confidence_drop,avg_foreground_ratio,avg_background_ratio,avg_attention_bias_score
background_blur,landbird-land,352,0.9772727272727273,0.9649648908525705,0.952884564571031,0.011363636363636364,0.018920939754356037,0.6191020809641267,0.380897920503091,0.380897920503091
background_blur,landbird-water,383,0.7911227154046997,0.8733888803823188,0.7514918522399244,0.1279373368146214,-0.012137604600144429,0.7131931744902356,0.28680682264905105,0.28680682264905105
background_blur,waterbird-land,139,0.5323741007194245,0.8993293278508907,0.5361211996972762,0.11510791366906475,0.005858941043881204,0.6491547150615992,0.35084528433711426,0.35084528433711426
background_blur,waterbird-water,126,0.9047619047619048,0.9347340857225751,0.8735840515019224,0.06349206349206349,0.019922755067310637,0.701915019233208,0.2980849866554757,0.2980849866554757
background_mask,landbird-land,352,0.96875,0.9538554100489075,0.93746061222154,0.014204545454545454,0.03003042055801912,0.7118981183586893,0.2881018829974212,0.2881018829974212
background_mask,landbird-water,383,0.8616187989556136,0.904876168340678,0.8227011781751529,0.17754569190600522,-0.043624892558503714,0.7227868348910895,0.2772131652056285,0.2772131652056285
background_mask,waterbird-land,139,0.5971223021582733,0.9049696960895182,0.5927480054942208,0.1223021582733813,0.00021857280525372182,0.7321528840330387,0.2678471170064072,0.2678471170064072
background_mask,waterbird-water,126,0.8412698412698413,0.9135633144113753,0.8250118812734616,0.1111111111111111,0.04109352637851049,0.7344012215738557,0.2655987746338723,0.2655987746338723
background_patch_shuffle,landbird-land,352,0.9829545454545454,0.9742797198282047,0.9633062837750376,0.017045454545454544,0.009606110778721895,0.5705791152177696,0.4294208821895973,0.4294208821895973
background_patch_shuffle,landbird-water,383,0.835509138381201,0.8944226982699361,0.7963365419377517,0.19843342036553524,-0.03317142248776189,0.6124733133494568,0.3875266851968406,0.3875266851968406
background_patch_shuffle,waterbird-land,139,0.4892086330935252,0.8942823512948674,0.4801996020210125,0.15827338129496402,0.010905917599904452,0.588205643084755,0.41179435648557844,0.41179435648557844
background_patch_shuffle,waterbird-water,126,0.8095238095238095,0.8767337051648942,0.7719606713609888,0.12698412698412698,0.07792313562499152,0.6118384684298527,0.38816152969083034,0.38816152969083034
foreground_mask,landbird-land,352,0.9715909090909091,0.9439843319017779,0.9327318875373087,0.03977272727272727,0.0399014987051487,0.3490033016255383,0.6509966922177353,0.6509966922177353
foreground_mask,landbird-water,383,0.206266318537859,0.8014477164564805,0.2920277835869254,0.556135770234987,0.05980355932569379,0.2983507285459047,0.7016492695019737,0.7016492695019737
foreground_mask,waterbird-land,139,0.07194244604316546,0.9201445661002784,0.10805310236324174,0.4748201438848921,-0.014956297205506468,0.33836298449578733,0.6616370279267797,0.6616370279267797
foreground_mask,waterbird-water,126,0.8174603174603174,0.8442553764297849,0.7573776697769524,0.1984126984126984,0.11040146436010088,0.3302668311863937,0.6697331684053293,0.6697331684053293
original,landbird-land,352,0.9829545454545454,0.9838858306069266,0.971031244576228,0.0,0.0,0.5464279763444353,0.4535720267424617,0.4535720267424617
original,landbird-water,383,0.6997389033942559,0.8612512757821743,0.6660874695533935,0.0,0.0,0.6357250588345265,0.364274937863626,0.364274937863626
original,waterbird-land,139,0.5035971223021583,0.9051882688947719,0.5135517875430242,0.0,0.0,0.5532358601508589,0.4467641471794298,0.4467641471794298
original,waterbird-water,126,0.9365079365079365,0.9546568407898858,0.922763498936085,0.0,0.0,0.6167690087094028,0.38323099537753197,0.38323099537753197
