epoch,train_loss,train_acc,val_acc,val_worst_group_acc,val_acc_waterbird-water,val_acc_waterbird-land,val_acc_landbird-land,val_acc_landbird-water
1,0.17291639703981446,0.9374348279457768,0.859883236030025,0.3233082706766917,0.7894736842105263,0.3233082706766917,0.9978586723768736,0.8948497854077253
2,0.05960600067345703,0.9808133472367049,0.8181818181818182,0.45112781954887216,0.9323308270676691,0.45112781954887216,0.9935760171306209,0.7145922746781116
3,0.03832239025700701,0.9870698644421272,0.8015012510425354,0.5413533834586466,0.9473684210526315,0.5413533834586466,0.9935760171306209,0.6416309012875536
4,0.03404898031870131,0.9874869655891554,0.8298582151793161,0.5639097744360902,0.9473684210526315,0.5639097744360902,0.9764453961456103,0.7253218884120172
5,0.028734480125812097,0.9910323253388947,0.8073394495412844,0.2631578947368421,0.8872180451127819,0.2631578947368421,0.9978586723768736,0.7489270386266095
6,0.020179521084138667,0.9939520333680918,0.8315262718932444,0.42105263157894735,0.9323308270676691,0.42105263157894735,0.9978586723768736,0.7532188841201717
7,0.017462912127395026,0.9954118873826903,0.8115095913261051,0.5037593984962406,0.9624060150375939,0.5037593984962406,0.9914346895074947,0.6759656652360515
8,0.014048365122231735,0.9943691345151199,0.8031693077564637,0.42857142857142855,0.9172932330827067,0.42857142857142855,0.9914346895074947,0.6888412017167382
9,0.00860298000106382,0.997497393117831,0.8181818181818182,0.40601503759398494,0.9323308270676691,0.40601503759398494,0.9957173447537473,0.7253218884120172
10,0.00398068233471795,0.9989572471324296,0.8465387823185988,0.39849624060150374,0.8646616541353384,0.39849624060150374,1.0,0.8154506437768241
11,0.005578714622790625,0.997497393117831,0.835696413678065,0.2932330827067669,0.8947368421052632,0.2932330827067669,1.0,0.8090128755364807
12,0.009032258682042299,0.997288842544317,0.854045037531276,0.46616541353383456,0.924812030075188,0.46616541353383456,1.0,0.7982832618025751
13,0.0062007319482785825,0.9977059436913451,0.8156797331109258,0.2631578947368421,0.8947368421052632,0.2631578947368421,0.9978586723768736,0.7682403433476395
14,0.01524804940751178,0.9954118873826903,0.8557130942452044,0.45864661654135336,0.8947368421052632,0.45864661654135336,0.9892933618843683,0.8240343347639485
15,0.021187594404387774,0.9924921793534932,0.7898248540450375,0.16541353383458646,0.8796992481203008,0.16541353383458646,0.9957173447537473,0.7360515021459227
